idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2162116-161;122974;Não;Pedro Lucas Fernandes;UNIÃO;MA
2162116-161;122158;Sim;Pedro Paulo;PSD;RJ
2162116-161;160604;Não;Pedro Uczai;PT;SC
2162116-161;204406;Não;Pedro Westphalen;PP;RS
2162116-161;161440;Não;Pezenti;MDB;SC
2162116-161;204524;Não;Pinheirinho;PP;MG
2162116-161;73486;Não;Pompeo de Mattos;PDT;RS
2162116-161;160601;Não;Pr. Marco Feliciano;PL;SP
2162116-161;220533;Não;Prof. Reginaldo Veras;PV;DF
2162116-161;204390;Não;Professor Alcides;PSDB;GO
2162116-161;221338;Não;Professora Luciene Cavalcante;PSOL;SP
2162116-161;160641;Não;Professora Marcivania;PCDOB;AP
2162116-161;220586;Não;Rafael Brito;MDB;AL
2162116-161;233594;Não;Rafael Fera;PODE;RO
2162116-161;220532;Não;Rafael Prudente;MDB;DF
2162116-161;204567;Não;Raimundo Costa;PSD;BA
2162116-161;74084;Não;Raimundo Santos;PSD;PA
2162116-161;220606;Não;Reimont;PT;RJ
2162116-161;178989;Não;Renata Abreu;PODE;SP
2162116-161;73801;Não;Renildo Calheiros;PCDOB;PE
2162116-161;175765;Não;Ribamar Silva;PSD;SP
2162116-161;235088;Não;Ribeiro Neto;SOLIDARIEDADE;MA
2162116-161;221329;Não;Ricardo Abrão;UNIÃO;RJ
2162116-161;220543;Não;Ricardo Ayres;REPUBLICANOS;TO
