deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
221378;Reginete Bispo;PT;414;0;True;
222142;Coronel Telhada;PP;336;0;True;
222429;Luis Carlos Gomes;REPUBLICANOS;820;1;True;
222565;Soldado Noelio;UNIAO;36;0;True;
223128;Rodrigo Estacho;PSD;795;0;True;
223398;Ulisses Guimarães;MDB;70;0;True;
224117;Gabriel Mota;UNIAO;926;0;True;
224333;Welter;PT;868;2;True;
225386;Renan Ferreirinha;PSD;74;0;True;
225727;Flavinha;MDB;103;0;True;
225730;Enfermeira Ana Paula;PODE;285;4;True;
225846;Itamar Paim;PL;13;0;False;too_few_valid_votes (<20 over retained roll calls)
226075;Priscila Costa;PL;108;21;True;
226179;Gisela Simona;UNIAO;1019;2;True;
226410;Márcio Correa;MDB;94;2;True;
226553;Eliane Braz;PSD;74;0;True;
226708;Allan Garcês;PP;681;0;True;
226837;Saulo Pedroso;PSD;626;0;True;
227275;Mariana Carvalho;REPUBLICANOS;75;0;True;
227310;Silvio Antonio;PL;156;28;True;
227323;Luciano Galego;PL;56;21;True;
227324;Henrique Júnior;PL;80;4;True;
227370;Felipe Saliba;PRD;85;0;True;
227401;Dr Fabio Rueda;UNIAO;74;0;True;
227433;Douglas Viegas;UNIAO;581;0;True;
227660;Nitinho;PSD;294;0;True;
227800;Duarte Gonçalves Jr;REPUBLICANOS;65;0;True;
227991;Dr Flávio;PL;166;0;True;
228042;Naumi Amorim;PSD;24;0;True;
228272;Délio Pinheiro;PDT;50;0;True;
228616;Dr. Remy Soares;PP;58;0;True;
228797;Júlio Oliveira;PP;71;0;True;
228837;Juliana Kolankiewicz;MDB;75;0;True;
228941;Daniel José;PODE;57;1;True;
229069;Capitão Samuel;PP;38;10;True;
229082;Lucyana Genésio;PDT;44;0;True;
229106;Carla Ayres;PT;61;0;True;
229112;Pedro Jr;PL;52;22;True;
229225;Michele Collins;PP;58;0;True;
229259;Pedro Tourinho;PT;65;0;True;
229333;Gláucia Santiago;PL;58;20;True;
229432;Luiz Fernando Vampiro;MDB;374;1;True;
229585;Elisangela Araujo;PT;89;0;True;
229939;Newton Bonin;UNIAO;113;0;True;
230088;Dra. Mayra Pinheiro;PL;75;3;True;
230177;Tadeu Oliveira;PL;77;2;True;
230762;Pastor Claudio Mariano;UNIAO;254;0;True;
230764;Ivan Júnior;UNIAO;20;0;True;
230765;Enfermeira Rejane;PCDOB;417;0;True;
230767;Rodrigo da Zaeli;PL;444;8;True;
230768;Zé Adriano;PP;443;0;True;
230957;João Cury;MDB;342;0;True;
231911;Lenir de Assis;PT;380;3;True;
233218;Nelinho Freitas;MDB;92;0;True;
233592;Paulo Lemos;PT;160;0;True;
233594;Rafael Fera;PODE;230;0;True;
233598;Samuel Santos;PODE;155;0;True;
234253;Lucas Abrahao;REDE;72;3;True;
234310;Ricardo Galvão;REDE;124;9;True;
234388;Fabiano Cazeca;PRD;59;0;True;
234406;Elmano Férrer;PP;70;0;True;
234673;Vanderlan Alves;REPUBLICANOS;123;0;True;
234788;Heloísa Helena;REDE;82;1;True;
234840;Cristiano Furlan;REDE;22;0;True;
235088;Ribeiro Neto;SOLIDARIEDADE;86;6;True;
235620;Ilacir Bicalho;REPUBLICANOS;34;0;True;
235712;Vavá;AVANTE;35;0;True;
235776;Sérgio Turra;PP;42;0;True;
235800;Jorge Araújo;PP;24;0;True;
235869;João Carlos;REPUBLICANOS;31;0;True;
62881;Danilo Forte;UNIAO;709;1;True;
66385;Julio Arcoverde;PP;692;1;True;
66828;Fausto Pinato;PP;788;13;True;
68720;Fábio Henrique;UNIAO;56;0;True;
69871;Bacelar;PV;1020;2;True;
72442;Felipe Carreras;PSB;748;1;True;
73433;Arlindo Chinaglia;PT;881;2;True;
73441;Celso Russomanno;REPUBLICANOS;743;10;True;
